Probl�me-Technique,427,"Cliente comme mon mari depuis des années chez Orange. Je suis très déçue de mon dernier passage. Je suis allée changer mon smartphone qui avait 2 problèmes. La batterie qui n'en pouvait plus, celui que l'on m'a remplacé est guère mieux. Le chargeur aussi a été changé mais on me l'a fait payer presque 15€ alors qu'il fesait parti du pack d'achat. Les photos de mes contacts sont toutes floutees. Je suis très déçue. Je dois le changer au mois d'octobre, j'y réfléchirais. Quand à l'accueil dure, dure. Désolée."
Accueil-politesse,486,"Personnel à l'accueil faisant réellement office d'accueil et de bienvenu... un vrai plaisir d'être accueilli de la sorte avec courtoisie et sourire. Pas eu besoin de passer par la case conseiller donc impossible à juger, mais en tout cas il y avait de nombreux conseiller en train de renseigner des clients. Ça change des boutiques où les îlots de conseils sont désespérément vides..."
Relation-Commerciale,1340,Vendeur très compétent et efficace
Accueil-politesse,1148,Très bien personnels très aimable
Accueil-politesse,448,Suoer sympa les vendeurs !
Temps-Attente,592,Beaucoup d'attente (environ 30 minutes) du fait que les vendeurs soient obligés de dépasser leur rôle et de jouer les pédagogues avec des clients pas très doués... Ils sont vraiment patients... Accueil aimable et professionnel.
Accueil-politesse,872,Équipe Sympa et compétente...
Cadre-Atmosph�re,1796,Souvent vide on a l impression de rentrer dans un autre monde froid et inquiétant
Relation-Commerciale,2142,"Après 1,5 mois d'erreurs de mise en place, et de mauvais matériel envoyé, on arrive enfin à avoir la livebox fonctionnant chez nous. On rend notre matériel en agence, et on reçoit ensuite des courriers de mise en demeure de matériel non envoyé car évidemment l'agence ne communique pas avec les autres services. Je retourne à l'agence aujourd'hui, et l'agent accueil me reçoit de manière déplorable : c'est ma faute si j'ai rendu le matériel en agence et pas par Chronopost. Oùest le client ? Pourtant rien ne vous avait été dit la fois précédente. Bref heureusement un responsable est à la rescousse, et a débrouillé l'affaire en prenant du temps, et en faisant son travail. Merci à lui ! Mais quel parcours du combattant pour le client pour juste avoir une livebox."
Accueil-politesse,551,"Je suis rentré puis je suis sortie : Aucun vendeur à ma rencontre ""j'ai poiroté 15 minutes"""
Accueil-politesse,1198,(Traduit par Google) Très bon service  (Original) Muy buen servicio
Temps-Attente,25,"Bel endroit, mais une attente infinie pire qu'une administration."
Emotion-Ressenti,1482,Bien
Emotion-Ressenti,1111,"Accueil un peu poussif et amateurs,  mais gentillesse et politesse"
Accueil-politesse,2507,"Accueil efficace et souriant, pas d'attente, du choix et des rayons remplis, le seul bémol c'est les prix."
Emotion-Ressenti,1801,Excellent  service.
Relation-Commerciale,1924,Top opérateur de grade qualité
Changement-Op�rateur,2562,"Client depuis de nombreuses années d'Orange (auparavant PTT, Itinéris, France Télécom, etc...), titulaire un contrat complet à ma résidence principale de Paris et souhaitant changer de fournisseur Internet pour ma résidence secondaire, je me suis rendu - en prenant rendez-vous - à la boutique Orange de la rue de Rennes à Paris pour obtenir des informations et instructions complémentaires. Je fut reçu à l'heure prévue par un conseiller incapable de répondre à toutes mes questions, me regardant avec les yeux mi-clos, visiblement peu intéressé par ma visite. Je lui ai posé une question concernant un problème récurrent que j'ai avec un téléphone Samsung, que j'ai acheté neuf chez Orange. Il n'a pu me répondre qu'il me fallait téléphoner au 3900, sans plus d'explications. J'ai été profondément déçu par le manque de professionnalisme de ce conseiller. J'en ai connu de meilleurs chez Orange !"
Accueil-politesse,1128,"Pire boutique Orange, personnel incompétent et responsable de l’agence qui ne connaît pas le mot “service client” ! Les autres boutiques Orange sont vraiment à la hauteur, alors que celle-ci... Client depuis 2005, je n’ai jamais vécu un pire service avec Orange que dans cette boutique ! Honteux"
Cadre-Atmosph�re,1670,"Une boutique classique avec tout la téléphonie mobile,  à 5mn de la gare."
Emotion-Ressenti,2004,(Traduit par Google) Haut  (Original) Top
Probl�me-Technique,1106,"Une catastrophe! Ne laissez pas votre mobile entre leurs mains, mon galaxy m'a été rendu avec un coup de cutter sur la touche principale! "
Accueil-politesse,611,Très bon accueil
Relation-Commerciale,1011,"Le manager est un énorme enfant de péripatéticienne. Et je pèse mes mots. Vous avez le moindre problème avec votre contrat Orange/Sosh ? C'est donc votre problème et non le sien. Bravo, quel humanisme, quel respect de ses semblables."
Accueil-politesse,1605,"Accueil détestable. Quand mon tour arrive, le conseiller m´ignore un moment avant de venir vers moi sans bonjour ni politesse. Je lui explique rapidement ma situation (assez urgente, je pars à l´étranger et le service client me dit de poser mon matériel en boutique), il me dit qu´il ne peut rien faire, n´écoute meme pas mon cas et bascule carrément dans l´impolitesse en me disant que j´aurais du me renseigner mieux avant de venir et que je n´ai rien compris a ce qu´on m´a dit. Ce comportement méprisant d´ailleurs en partie du au fait que je suis une jf de 25 ans.  Tout simplement désagréable et humiliant. Franchement une honte. J´ai appelé le service client pour le signaler, et ai pu poser mon matériel sans aucun problème au store de République.  Bref je ne parle que pour cet agent, mais son contact client est plus que limite et zéro sens du service."
Accueil-politesse,749,"Déplorable! Le personnel est à  la hauteur de sa réputation! Hautain, désagréable et agressif. Boutique à  éviter à tout prix. L' agent à  l'accueil devrait changer de métier !!!  n"
Relation-Commerciale,2408,"(Traduit par Google) Horrible attentif aux détails, seulement intéressé à faire une vente. Je ne pense pas qu'ils voulaient m'aider car je suis un client prépayé et mon numéro ne venait pas de France. À la fin, j'ai été vendu quelque chose qui ne pouvait pas travailler pour moi et a dû le retourner seulement après avoir cherché l'agent original. Si vous êtes un client français, vous obtiendrez peut-être un meilleur service.  (Original) Horrible attentive to details , only interested in making a sale. I don't think they wanted to help me as I am a prepaid client and my number was not from France . In the end I was sold something that could not work for me and had to return it only after looking for the original agent. If your a French client perhaps you will get better service."
Accueil-politesse,1375,"J'y suis allée hier, pour rien. Vendeurs hautains et pas du tout à l'écoute, mon problème n'a pas été résolu. Qu'on me conseille de me rediriger vers le service client en ligne alors que je me suis déplacée en magasin, c'est juste incompréhensible."
Emotion-Ressenti,2496,Solution rapide et efficace ! Très pros !
Cadre-Atmosph�re,1401,Magasin propre accueillant
Accueil-politesse,1373,"Le 25 avril, vers 11h30,Neuf employés dont deux agents de sécurité et un caissier, pour deux clients. Les « techniciens » occupés à bailler ou s’amuser dans un magasin presque vide. Accueil hautain et 20’ d’attente. J’ai fini par partir."
Emotion-Ressenti,385,"Arrivé dès l'ouverture, accueil et service efficace avec sourire. Un vrai petit bonheur."
Relation-Commerciale,1196,"Bonjour à toutes et à tous ,  Fuyez cette boutique comme la peste! Personnel incompétent et se permet d’être négligeable avec sa clientèle.  3 allez retours en boutique suite au professionnalisme de ces incompétents."
Accueil-politesse,1835,Bon accueil et bon service!
Emotion-Ressenti,1384,"Service client parfait. Personnel très à l'écoute de mes besoin et très serviable. Peu d'attente, ça change... Merci à l'équipe !"
Temps-Attente,2027,Trop de monde donc beaucoup d'attente. Mais service correct.
Temps-Attente,643,Attente 1h à 1h30  L ENFER
Temps-Attente,2388,Clairement pas assez de personnes pour traiter les demandes des clients. J'étais passez chez Apple en face on m'a répondu et j'ai pu acheter mon produit sans attendre. Chez Orange il y avait 17 personnes devant moi.
Temps-Attente,1551,Beaucoup beaucoup de monde et donc d'attente. Vendeurs sympathiques et compétents dans l'ensemble car certains sont plutôt mal aimables
Emotion-Ressenti,1855,Il sont très pro et agréable une bonne équipe au service de la clientèle
Relation-Commerciale,1534,Efficace. Rapide.
Relation-Commerciale,262,(Traduit par Google) Désorganisé et incapable de me proposer une recharge pour mon prépayé mobile. Passé 45 minutes en attente de parler à un vendeur qui ne pouvait pas m'aider avec ma requête  (Original) Disorganised and unable to offer me recharge for my pre pay mobile. Spent 45 minutes waiting to talk to a sales man who couldn't help me with my query
Emotion-Ressenti,31,(Traduit par Google) Service excellent. Dedans et dehors!  (Original) Excellent service.  In and out!
Probl�me-Technique,13,"Passage à la boutique Orange des Champs Elysées, seule boutique apparemment ayant un service de dépannage de smartphones. Prise en charge par un technicien souriant et aimable après 5 mn d'attente, les réparations ont été effectuées après que les explications (claires et précises) m'ont été fournies. Un seul regret : d'apprendre que si une réinitialisation de mon téléphone avait dû être faite, la sauvegarde de toutes mes données m'auraient coûté 9,00 € TTC. Ce qui me choque ce n'est pas tant le faible montant de cette opération, mais le fait que la fidélité du client (près de 10 ans chez Orange) ne compte pas... J'ai connu Orange beaucoup plus attentif à sa clientèle que maintenant. Restons positif pour cette opération. 20 mn plus tard, tout était réglé."
Relation-Commerciale,1496,"(Traduit par Google) J'étais en tournée en Europe pour quelques semaines et ma première nuit était près du magasin orange. Nous sommes allés là-bas, ils m'ont aidé à obtenir une carte sim en anglais pour environ 50 $ qui m'a couvert dans les 6 pays que j'ai traversé. In and out rapidement! Super pour avoir un service cellulaire avec Internet pour nous aider à naviguer notre voyage en Europe!  (Original) I was touring Europe for a couple weeks and my first night was near the orange store. Walked down there, they helped me get a sim card in english for about $50 that covered me in all 6 countries i travelled through. In and out quickly! Great to have cell service with internet to help us navigate our Europe road trip!"
Accueil-politesse,2451,Les vendeurs et vendeuses passent le temps à discuté de la pluie et du beau temps avec le client.
Probl�me-Technique,2255,"Deplorable , service nul , accueil d un autre temps n ecoute pas son client ne comprends rien. De plus service commercial nul se trompe constement , m ont echange une mauvaise box  ce qui a pour consequence de bloquer 30 personnes au travail !!! Je n ai jamais vu ca le directeur merite d etre limogé. c est pas avec ce genre de service que la France va s en sortir on est reellement sur la mauvaise pente."
Emotion-Ressenti,745,Excellent
Relation-Commerciale,2516,"En boutique et au 3900, j'ai été très bien conseillée et guidée, les conseillers en boutique et techniciens téléphoniques sont serviables et très compétents. Un grand bravo pour vos prestations !!"
,184,Ask for Rachida
Cadre-Atmosph�re,720,Bonne boutique
Temps-Attente,1374,Le personnel est sympa..toujours du monde donc il faut prévoir une attente..
Accueil-politesse,629,"Que dire de cet endroit... du personnel, il y en a. Occupé à quoi ? Peut-être à vous faire poireauter messieurs mesdames, en paradant comme des coqs. Il faut prendre rdv pour avoir un renseignement, ok pas de pb. Je reviens, j'attend, d'autres attendent, la mine déconfite. Je demande à l'un d'entre eux, ça fait 3/4 d'heure qu'il est là à attendre. Nous sommes jeudi matin je précise. Et avec tout ça, on vous fait bien sentir qu'il faut être bien sage et poli, personne n'ose protester...! Si au moins c'était une pièce de théâtre, non, c'est du vécu !"
Accueil-politesse,501,Tres accueillant et competant
Accueil-politesse,1972,Très bon accueil !
Accueil-politesse,1519,"Très bon accueil.Boubacar est compétent ,patient ,serviable .Bravo"
Cadre-Atmosph�re,2352,Commerciales très serviables et à l'écoute. Très belle boutique en passant
Probl�me-Technique,2342,Prise en charge rapide et bons conseils
Emotion-Ressenti,2632,boutique à éviter!
Temps-Attente,475,Beaucoup trop d attente
Emotion-Ressenti,2627,Employés déplorables !
Accueil-politesse,1494,"I used Orange Internet service for two months while I was living in Paris. The English customer service is unfortunately very rude. If you don't have your account number ready or cannot quickly pull up your French number, they will get irritated and hang up. I've had several unpleasant conversations."
Temps-Attente,788,Service beaucoup trop lent et incompétents
Emotion-Ressenti,1746,Agréable et efficace je recommande
Accueil-politesse,407,"Très bonne accueil, et bien organisé. On s'occupe rapidement de vous et les agents sont serviable."
Changement-Op�rateur,2006,"Très déçu par ce point de vente orange, ENORMEMENT d'attente, pour parfois repartir sans avoir parlé à un vendeur. De nombreux problèmes post visite du à des erreurs effectuées par les vendeurs (erreur volontaire de changement d'adresse, magouille sur le logiciel interne, le vendeur rempli les champs d'inscription à la vitesse de l'éclaire sans prendre le temps de nous expliquer, puis constate avoir fait des erreurs, mais les laissent quand même.. résultat plusieurs semaines de retard sur commande, ou encore 3 jours sans carte SIM après une mauvaise manipulation d'un vendeur etc .. aucune empathie, on nous laisse avec notre problème, CLIENT SUIVANT !!"
Accueil-politesse,1732,"Fuyez cette boutique ! Le personnel est incompétent, les clients ont l'impression de déranger, on vous parle mal ! Le directeur et le vendeur plus âgée (barbe blanche) sont horribles ... Ils n'ont pas envie de faire leur boulot et agressent les clients ! Plus jamais !!!!!!"
Temps-Attente,1729,"C'est une bonne boutique accueillante , mais toujours trop de monde ! "
Emotion-Ressenti,2458,Bon
Relation-Commerciale,368,The store not open on time like they wrote at the door.
Accueil-politesse,1301,"Très très bien accueillis. Superbe Boutique. Des personnes y travaillant très professionnelles, accueillantes, gentilles, souriantes. Très très bien !"
Cadre-Atmosph�re,703,trop d'attente le concept du salon n'est guère bien étudié la copie du concept est à revoir
Emotion-Ressenti,1931,Magasin refait a neuf mais.... Vendeur désagréable! J'ai jamais vu ça!  Hautain et je m'en foutisme de l'extrême! On ne reviendra plus. Super image d'Orange ! Si je pouvais mettre une note négative je l'aurai fait! FUYEZ
Accueil-politesse,1206,(Traduit par Google) Les consultants ignorent ma visite à Oranzh! Dégoûtant.  (Original) Consultants ignore my visit to Oranzh! Disgustingly.
Relation-Commerciale,2433,"Pongo una estrella porque no se puede poner menos. El personal no tiene ni idea de lo que tienen en la tienda, te dicen que solo hay un tamaño y había dos, hasta se quedó cortado al darse cuenta. No tienen formación ninguna. Hay 3 personas en la puerta que no se enteran de nada e ignoran las preguntas. Llevamos 15 minutos esperando a por la persona que nos iba a resolver la duda y no volvió."
Emotion-Ressenti,2270,Top des boutiques orange
Accueil-politesse,1390,"Très bon service client, et le problème a été résolu rapidement. Je recommende cette location ! / Really good customer service, and my problem has been quickly resolved. I recommend this shop !"
Relation-Commerciale,2524,Très Professionnels .
Probl�me-Technique,1686,Quand vous rentrer dans la boutique en expliquant que vous avez pas de prise téléphonique mais que vous pensez avoir la fibre et que vous voulez l'offre avec forfait portable au lieu de vous dire que votre bâtiment n'est pas éligible à la fibre il vous font le dossier et quand vous rentrez chez vous vous apercevez que c'est une box classique malheureusement vous avez signez et êtes obligé d'attendre 1an pour résilier !!!! Donc reflechissez bien avant d'aller la et quitte à faire répéter et ouvrir la boite pour bien vérifier.
Emotion-Ressenti,1556,Equipe de très pro
Accueil-politesse,1313,"Très bonne expérience dans cette boutique : problème résolu instantanément, vendeurs agréables et proposition spontanée d'un téléphone pour remplacer celui que je m'étais fait voler."
Accueil-politesse,2058,Accueil à revoir. 
Accueil-politesse,1509,"Épouvantable accueil, personnel à la limite de l'escroquerie... Je recommande d'aller à la boutique Orange de République."
Relation-Commerciale,845,"Hallucinant un opérateur de téléphone qui n'a pas de numéro de téléphone ! Pauvre monde le fric d'abord, le service ensuite"
Emotion-Ressenti,1828,Superbe boutique. Équipe jeune et dynamique.
Emotion-Ressenti,1916,Super conseil réactif et efficace  Merci à Myriam 😀
Relation-Commerciale,856,Moins de choses que la boutique orange République. Mais service équivalent.
Accueil-politesse,1688,Aimables comme des portes de prison excepté le gentil barbu. On a franchement l'impression de gêner leur partie de candycrush
Temps-Attente,1114,"Une petite boutique, beaucoup de monde et pas beaucoup de personnel. À eviter"
,1902,No comment
